,state,total,latitude,longitude,name
0,TX,538,31.968598999999998,-99.901813,Texas
1,OK,112,35.007752,-97.092877,Oklahoma
2,VA,111,37.431573,-78.656894,Virginia
3,FL,92,27.664827000000002,-81.515754,Florida
4,MO,87,37.964253,-91.83183299999999,Missouri
5,GA,69,32.157435,-82.907123,Georgia
6,AL,58,32.318231,-86.902298,Alabama
7,OH,53,40.417287,-82.907123,Ohio
8,SC,43,33.836081,-81.163725,South Carolina
9,NC,43,35.759572999999996,-79.0193,North Carolina
10,AZ,37,34.048928000000004,-111.093731,Arizona
11,LA,28,31.244822999999997,-92.14502399999999,Louisiana
12,AR,27,35.20105,-91.83183299999999,Arkansas
13,MS,21,32.354668,-89.398528,Mississippi
14,IN,20,40.551217,-85.602364,Indiana
15,DE,16,38.910832,-75.52767,Delaware
16,CA,13,36.778261,-119.41793200000001,California
17,NV,12,38.802609999999994,-116.419389,Nevada
18,IL,12,40.633125,-89.398528,Illinois
19,UT,7,39.32098,-111.093731,Utah
20,TN,6,35.517491,-86.58044699999999,Tennessee
21,MD,5,39.045755,-76.641271,Maryland
22,WA,5,47.751073999999996,-120.74013899999999,Washington
23,KY,3,37.839333,-84.27001800000001,Kentucky
24,NE,3,41.492537,-99.901813,Nebraska
25,PA,3,41.203322,-77.194525,Pennsylvania
26,ID,3,44.068202,-114.74204099999999,Idaho
27,MT,3,46.879682,-110.36256599999999,Montana
28,SD,3,43.969515,-99.901813,South Dakota
29,OR,2,43.804133,-120.554201,Oregon
30,WY,1,43.075967999999996,-107.29028400000001,Wyoming
31,NM,1,34.97273,-105.03236299999999,New Mexico
32,CO,1,39.550051,-105.782067,Colorado
33,CT,1,41.603221000000005,-73.087749,Connecticut
