state,total,name
TX,538,Texas
OK,112,Oklahoma
VA,111,Virginia
FL,92,Florida
MO,87,Missouri
GA,69,Georgia
AL,58,Alabama
OH,53,Ohio
SC,43,South Carolina
NC,43,North Carolina
AZ,37,Arizona
LA,28,Louisiana
AR,27,Arkansas
MS,21,Mississippi
IN,20,Indiana
DE,16,Delaware
CA,13,California
NV,12,Nevada
IL,12,Illinois
UT,7,Utah
TN,6,Tennessee
MD,5,Maryland
WA,5,Washington
KY,3,Kentucky
NE,3,Nebraska
PA,3,Pennsylvania
ID,3,Idaho
MT,3,Montana
SD,3,South Dakota
OR,2,Oregon
WY,1,Wyoming
NM,1,New Mexico
CO,1,Colorado
CT,1,Connecticut
